satisfied,comments_es
Positivo,Sorprendente lo bueno que es 
Positivo,El servicio es magnifico.
Positivo,Es magnifico lo bueno que es este servicio
Positivo,Magnifico lo rapido que es la app
Positivo,Magnifico lo bueno que es 
Positivo,Super util.
Positivo,Facilita mucho las cosas.
Positivo,Es muy facil de usar
Positivo,El servicio es increible.
Positivo,Es increible lo bueno que es este servicio
Positivo,Increible lo rapido que es la app
Positivo,Increible lo bueno que es 
Positivo,El servicio es fabuloso.
Positivo,Es fabuloso lo bueno que es este servicio
Positivo,Fabuloso lo rapido que es la app
Positivo,Fabuloso lo bueno que es 
Positivo,El servicio es sorprendente.
Positivo,Es sorprendente lo bueno que es este servicio
Positivo,Sorprendente lo rapido que es la app
Positivo,Sorprendente lo bueno que es 
Positivo,El servicio es magnifico.
Positivo,Es magnifico lo bueno que es este servicio
Positivo,Magnifico lo rapido que es la app
Positivo,Magnifico lo bueno que es 
Positivo,Super util.
Positivo,Facilita mucho las cosas.
Positivo,Es muy facil de usar
Positivo,El servicio es increible.
Positivo,Es increible lo bueno que es este servicio
Positivo,Increible lo rapido que es la app
Positivo,Increible lo bueno que es 
Positivo,El servicio es fabuloso.
Positivo,Es fabuloso lo bueno que es este servicio
Positivo,Fabuloso lo rapido que es la app
Positivo,Fabuloso lo bueno que es 
Positivo,El servicio es sorprendente.
Positivo,Es sorprendente lo bueno que es este servicio
Positivo,Sorprendente lo rapido que es la app
Positivo,Sorprendente lo bueno que es 
Positivo,El servicio es magnifico.
Positivo,Es magnifico lo bueno que es este servicio
Positivo,Magnifico lo rapido que es la app
Positivo,Magnifico lo bueno que es 
Positivo,Super util.
Positivo,Facilita mucho las cosas.
Positivo,Es muy facil de usar
Positivo,El servicio es increible.
Positivo,Es increible lo bueno que es este servicio
Positivo,Increible lo rapido que es la app
Positivo,Increible lo bueno que es 
Positivo,El servicio es fabuloso.
Positivo,Es fabuloso lo bueno que es este servicio
Positivo,Fabuloso lo rapido que es la app
Positivo,Fabuloso lo bueno que es 
Positivo,El servicio es sorprendente.
Positivo,Es sorprendente lo bueno que es este servicio
Positivo,Sorprendente lo rapido que es la app
Positivo,Sorprendente lo bueno que es 
Positivo,El servicio es magnifico.
Positivo,Es magnifico lo bueno que es este servicio
Positivo,Magnifico lo rapido que es la app
Positivo,Magnifico lo bueno que es 
Positivo,Super util.
Positivo,Facilita mucho las cosas.
Positivo,Es muy facil de usar
Positivo,El servicio es increible.
Positivo,Es increible lo bueno que es este servicio
Positivo,Increible lo rapido que es la app
Positivo,Increible lo bueno que es 
Positivo,El servicio es fabuloso.
Positivo,Es fabuloso lo bueno que es este servicio
Positivo,Fabuloso lo rapido que es la app
Positivo,Fabuloso lo bueno que es 
Positivo,El servicio es sorprendente.
Positivo,Es sorprendente lo bueno que es este servicio
Positivo,Sorprendente lo rapido que es la app
Positivo,Sorprendente lo bueno que es 
Positivo,El servicio es magnifico.
Positivo,Es magnifico lo bueno que es este servicio
Negativo,Increible lo malo que es
Negativo,Increible que pueda ser tan mala la app
Negativo,Sorprendente lo lenta que es
Negativo,Es soprendente lo inutil que es esta app
Negativo,Es increblemente mala 
Negativo,Es increiblemente ineficiente
Negativo,Increible lo malo que es
Negativo,Increible que pueda ser tan mala la app
Negativo,Sorprendente lo lenta que es
Negativo,Es soprendente lo inutil que es esta app
Negativo,Es increblemente mala 
Negativo,Es increiblemente ineficiente
Negativo,Increible lo malo que es
Negativo,Increible que pueda ser tan mala la app
Negativo,Sorprendente lo lenta que es
Negativo,Es soprendente lo inutil que es esta app
Negativo,Es increblemente mala 
Negativo,Es increiblemente ineficiente
Negativo,Increible lo malo que es
Negativo,Increible que pueda ser tan mala la app
Negativo,Sorprendente lo lenta que es
Negativo,Es soprendente lo inutil que es esta app
Negativo,Es increblemente mala 
Negativo,Es increiblemente ineficiente
Negativo,Increible lo malo que es
Negativo,Increible que pueda ser tan mala la app
Negativo,Sorprendente lo lenta que es
Negativo,Es soprendente lo inutil que es esta app
Negativo,Es increblemente mala 
Negativo,Es increiblemente ineficiente
Negativo,Increible lo malo que es
Negativo,Increible que pueda ser tan mala la app
Negativo,Sorprendente lo lenta que es
Negativo,Es soprendente lo inutil que es esta app
Negativo,No me parece buena 
Negativo,No me parece util
Negativo,No me parece que ayude
Negativo,No me aprece rapida
Negativo,No me parece de utilidad
Negativo,No me parece que sirva mucho
Negativo,No me parece que sea de mucha ayuda
Negativo,No me es util
Negativo,No me sirve
Negativo,El servicio no me parece bueno
Negativo,La aplicación no me parece buena
Negativo,La app no me parece eficaz
Negativo,No me parece buena 
Negativo,No me parece util
Negativo,No me parece que ayude
Negativo,No me aprece rapida
Negativo,No me parece de utilidad
Negativo,No me parece que sirva mucho
Negativo,No me parece que sea de mucha ayuda
Negativo,No me es util
Negativo,No me sirve
Negativo,El servicio no me parece bueno
Negativo,La aplicación no me parece buena
Negativo,La app no me parece eficaz
Negativo,No me parece buena 
Negativo,No me parece util
Negativo,No me parece que ayude
Negativo,No me aprece rapida
Negativo,No me parece de utilidad
Negativo,No me parece que sirva mucho
Negativo,No me parece que sea de mucha ayuda
Negativo,No me es util
Negativo,No me sirve
Negativo,El servicio no me parece bueno
Negativo,La aplicación no me parece buena
Negativo,La app no me parece eficaz
Negativo,No me parece buena 
Negativo,No me parece util
Negativo,No me parece que ayude
Negativo,No me aprece rapida
Negativo,No me parece de utilidad
Negativo,No me parece que sirva mucho
Negativo,No me parece que sea de mucha ayuda
Negativo,No me es util
Negativo,No me sirve
Positivo,Me parece que sirve mucho
Positivo,Me parece que es de mucha ayuda
Positivo,Me parece interesante
Positivo,Me parece que la app es muy buena
Positivo,Me parece que el servicio es genial
Positivo,Me parece increible lo rapida que es la aplicación
Positivo,Me parece excelente
Positivo,Es excelente
Positivo,Esta app es excelente
Positivo,Este servicio me parece excelente
Positivo,La app me parece de mucha utilidad
Positivo,Me parece que sirve mucho
Positivo,Me parece que es de mucha ayuda
Positivo,Me parece interesante
Positivo,Me parece que la app es muy buena
Positivo,Me parece que el servicio es genial
Positivo,Me parece increible lo rapida que es la aplicación
Positivo,Me parece excelente
Positivo,Es excelente
Positivo,Esta app es excelente
Positivo,Este servicio me parece excelente
Positivo,La app me parece de mucha utilidad
Positivo,Me parece que sirve mucho
Positivo,Me parece que es de mucha ayuda
Positivo,Me parece interesante
Positivo,Me parece que la app es muy buena
Positivo,Me parece que el servicio es genial
Positivo,Me parece increible lo rapida que es la aplicación
Positivo,Me parece excelente
Positivo,Es excelente
Positivo,Esta app es excelente
Positivo,Este servicio me parece excelente
Positivo,La app me parece de mucha utilidad
Positivo,Me parece que sirve mucho
Positivo,Me parece que es de mucha ayuda
Positivo,Me parece interesante
Positivo,Me parece que la app es muy buena
Positivo,Me parece que el servicio es genial
Positivo,Me parece increible lo rapida que es la aplicación
Positivo,Me parece excelente
Positivo,Es excelente
Positivo,Esta app es excelente
Positivo,Este servicio me parece excelente
Positivo,La app me parece de mucha utilidad
Positivo,Me parece que sirve mucho
Positivo,Me parece que es de mucha ayuda
Positivo,Me parece interesante
Positivo,Me parece que la app es muy buena
Positivo,Me parece que el servicio es genial
Positivo,Me parece increible lo rapida que es la aplicación
Positivo,Me parece excelente
Positivo,Es excelente
Positivo,Esta app es excelente
Positivo,Este servicio me parece excelente
Positivo,La app me parece de mucha utilidad
Positivo,Me parece que sirve mucho
Positivo,Me parece que es de mucha ayuda
Positivo,Me parece interesante
Positivo,Me parece que la app es muy buena
Positivo,Me parece que el servicio es genial
Positivo,Me parece increible lo rapida que es la aplicación
Positivo,Me parece excelente
Positivo,Es excelente
Positivo,Esta app es excelente
Positivo,Este servicio me parece excelente
Positivo,La app me parece de mucha utilidad
Positivo,Me parece que sirve mucho
Positivo,Me parece que es de mucha ayuda
Positivo,Me parece interesante
Positivo,Me parece que la app es muy buena
Positivo,Me parece que el servicio es genial
Positivo,Me parece increible lo rapida que es la aplicación
Positivo,Me parece excelente
Positivo,Es excelente
Positivo,Esta app es excelente
Positivo,Este servicio me parece excelente
Positivo,La app me parece de mucha utilidad
Positivo,Me parece que sirve mucho
Positivo,Me parece que es de mucha ayuda
Positivo,Me parece interesante
Positivo,Me parece que la app es muy buena
Positivo,Me parece que el servicio es genial
Positivo,Me parece increible lo rapida que es la aplicación
Positivo,Me parece excelente
Positivo,Es excelente
Positivo,Esta app es excelente
Positivo,Este servicio me parece excelente
Positivo,La app me parece de mucha utilidad
Positivo,Me parece que sirve mucho
Positivo,Me parece que es de mucha ayuda
Positivo,Me parece interesante
Positivo,Me parece que la app es muy buena
Positivo,Me parece que el servicio es genial
Positivo,Me parece increible lo rapida que es la aplicación
Positivo,Me parece excelente
Positivo,Es excelente
Positivo,Esta app es excelente
Positivo,Este servicio me parece excelente
Positivo,La app me parece de mucha utilidad
Positivo,Me parece que sirve mucho
Positivo,Me parece que es de mucha ayuda
Positivo,Me parece interesante
Positivo,Me parece que la app es muy buena
Positivo,Me parece que el servicio es genial
Positivo,Me parece increible lo rapida que es la aplicación
Positivo,Me parece excelente
Positivo,Es excelente
Positivo,Esta app es excelente
Positivo,Este servicio me parece excelente
Positivo,La app me parece de mucha utilidad
Positivo,Me parece que sirve mucho
Positivo,Me parece que es de mucha ayuda
Positivo,Me parece interesante
Positivo,Me parece que la app es muy buena
Positivo,Me parece que el servicio es genial
Positivo,Me parece increible lo rapida que es la aplicación
Positivo,Me parece excelente
Positivo,Es excelente
Positivo,Esta app es excelente
Positivo,Este servicio me parece excelente
Positivo,La app me parece de mucha utilidad
Positivo,Me parece que sirve mucho
Positivo,Me parece que es de mucha ayuda
Positivo,Me parece interesante
Positivo,Me parece que la app es muy buena
Positivo,Me parece que el servicio es genial
Positivo,Me parece increible lo rapida que es la aplicación
Positivo,Me parece excelente
Positivo,Es excelente
Positivo,Esta app es excelente
Positivo,Este servicio me parece excelente
Positivo,La app me parece de mucha utilidad
Positivo,Me parece que sirve mucho
Positivo,Me parece que es de mucha ayuda
Positivo,Me parece interesante
Positivo,Me parece que la app es muy buena
Positivo,Me parece que el servicio es genial
Positivo,Me parece increible lo rapida que es la aplicación
Negativo,El servicio es pesimo y lento.
Negativo,El servicio es muy malo 
Negativo,Que mal servicio tiene esta app
Negativo,Que mal servicio tiene esta aplicación
Negativo,El servicio es lento
Negativo,El servicio es pesimo.
Negativo,El servicio es terrible.
Negativo,El servicio fue terrible y muy lento estoy enojado
Negativo,El servicio me hizo enojar mucho
Negativo,El servicio me hace enojar de lo terrible que es
Negativo,Que horrible servicio tienen 
Negativo,El servicio es super malo
Negativo,El servicio es de lo peor
Negativo,El servicio es terrible y lento
Negativo,El servicio es muy ineficiente
Negativo,Que mal servicio tiene la empresa 
Negativo,Porqueria el servicio que tienen
Negativo,Desearia que tuvieran un  mejor servicio
Negativo,Tinen un servicio espantoso
Negativo,El servicio es pesimo y lento.
Negativo,El servicio es muy malo 
Negativo,Que mal servicio tiene esta app
Negativo,Que mal servicio tiene esta aplicación
Negativo,El servicio es lento
Negativo,El servicio es pesimo.
Negativo,El servicio es terrible.
Negativo,El servicio fue terrible y muy lento estoy enojado
Negativo,El servicio me hizo enojar mucho
Negativo,El servicio me hace enojar de lo terrible que es
Negativo,Que horrible servicio tienen 
Negativo,El servicio es super malo
Negativo,El servicio es de lo peor
Negativo,El servicio es terrible y lento
Negativo,El servicio es muy ineficiente
Negativo,Que mal servicio tiene la empresa 
Negativo,Porqueria el servicio que tienen
Negativo,Desearia que tuvieran un  mejor servicio
Negativo,Tinen un servicio espantoso
Negativo,El servicio es pesimo y lento.
Negativo,El servicio es muy malo 
Negativo,Que mal servicio tiene esta app
Negativo,Que mal servicio tiene esta aplicación
Negativo,El servicio es lento
Negativo,El servicio es pesimo.
Negativo,El servicio es terrible.
Negativo,El servicio fue terrible y muy lento estoy enojado
Negativo,El servicio me hizo enojar mucho
Negativo,El servicio me hace enojar de lo terrible que es
Negativo,Que horrible servicio tienen 
Negativo,El servicio es super malo
Negativo,El servicio es de lo peor
Negativo,El servicio es terrible y lento
Negativo,El servicio es muy ineficiente
Negativo,Que mal servicio tiene la empresa 
Negativo,Porqueria el servicio que tienen
Negativo,Desearia que tuvieran un  mejor servicio
Negativo,Tinen un servicio espantoso
Negativo,El servicio es pesimo y lento.
Negativo,El servicio es muy malo 
Negativo,Que mal servicio tiene esta app
Negativo,Que mal servicio tiene esta aplicación
Negativo,El servicio es lento
Negativo,El servicio es pesimo.
Negativo,El servicio es terrible.
Negativo,El servicio fue terrible y muy lento estoy enojado
Negativo,El servicio me hizo enojar mucho
Negativo,El servicio me hace enojar de lo terrible que es
Negativo,Que horrible servicio tienen 
Negativo,El servicio es super malo
Negativo,El servicio es de lo peor
Negativo,El servicio es terrible y lento
Negativo,El servicio es muy ineficiente
Negativo,Que mal servicio tiene la empresa 
Negativo,Porqueria el servicio que tienen
Negativo,Desearia que tuvieran un  mejor servicio
Negativo,Tinen un servicio espantoso
Negativo,El servicio es pesimo y lento.
Negativo,El servicio es muy malo 
Negativo,Que mal servicio tiene esta app
Negativo,Que mal servicio tiene esta aplicación
Negativo,El servicio es lento
Negativo,El servicio es pesimo.
Negativo,El servicio es terrible.
Negativo,El servicio fue terrible y muy lento estoy enojado
Negativo,El servicio me hizo enojar mucho
Negativo,El servicio me hace enojar de lo terrible que es
Negativo,Que horrible servicio tienen 
Negativo,El servicio es super malo
Negativo,El servicio es de lo peor
Negativo,El servicio es terrible y lento
Negativo,El servicio es muy ineficiente
Negativo,Que mal servicio tiene la empresa 
Negativo,Porqueria el servicio que tienen
Negativo,Desearia que tuvieran un  mejor servicio
Negativo,Tinen un servicio espantoso
Negativo,El servicio es pesimo y lento.
Negativo,El servicio es muy malo 
Negativo,Que mal servicio tiene esta app
Negativo,Que mal servicio tiene esta aplicación
Negativo,El servicio es lento
Negativo,El servicio es pesimo.
Negativo,El servicio es terrible.
Negativo,El servicio fue terrible y muy lento estoy enojado
Negativo,El servicio me hizo enojar mucho
Negativo,El servicio me hace enojar de lo terrible que es
Negativo,Que horrible servicio tienen 
Negativo,El servicio es super malo
Negativo,El servicio es de lo peor
Negativo,El servicio es terrible y lento
Negativo,El servicio es muy ineficiente
Negativo,Que mal servicio tiene la empresa 
Negativo,Porqueria el servicio que tienen
Negativo,Desearia que tuvieran un  mejor servicio
Negativo,Tinen un servicio espantoso
Negativo,El servicio es pesimo y lento.
Negativo,El servicio es muy malo 
Negativo,Que mal servicio tiene esta app
Negativo,Que mal servicio tiene esta aplicación
Negativo,El servicio es lento
Negativo,El servicio es pesimo.
Negativo,El servicio es terrible.
Negativo,El servicio fue terrible y muy lento estoy enojado
Negativo,El servicio me hizo enojar mucho
Negativo,El servicio me hace enojar de lo terrible que es
Negativo,Que horrible servicio tienen 
Negativo,El servicio es super malo
Negativo,El servicio es de lo peor
Negativo,El servicio es terrible y lento
Negativo,El servicio es muy ineficiente
Negativo,Que mal servicio tiene la empresa 
Negativo,Porqueria el servicio que tienen
Neutro,Mas o menos me ha gustado el servicio 
Neutro,Mas o menos me ha parecido la app
Neutro,Mas o menos me ha gustado la aplicación 
Neutro,Mas o menos es buena la app
Neutro,Mas o menos es eficiente el servicio
Neutro,Mas o menos sirve la aplicación 
Neutro,La aplicación no es tan buena 
Neutro,La app no es tan buena
Neutro,El servicio no es tan bueno
Neutro,El servicio no es tan eficiente
Neutro,La aplicación no es tan eficiente
Neutro,La app no es tan eficiente
Neutro,La aplicación no es tan rapida
Neutro,La app no es tan rapida
Neutro,El banco no es tan bueno
Neutro,El servicio es regular
Neutro,El servicio me ha parecido regular
Neutro,Para mi el servicio es regular 
Neutro,La app es regular
Neutro,La aplicación es regular no es tan rapida
Neutro,La app es regular no es tan buena como ellos dicen
Neutro,La rapidez es regular
Neutro,La eficiencia es regular 
Neutro,El banco es regular
Neutro,El servicio prodria ser mejor
Neutro,La app podria ser mejor
Neutro,La aplicación podria ser mejor
Neutro,El servicio podria mejorar 
Neutro,La app podria mejorar
Neutro,La aplicación podria mejorar su eficiencia
Neutro,EL servicio podria mejorar la rapidez
Neutro,La app podria mejorar el servicio al cliente
Neutro,El banco podria mejorar
Neutro,El banco podria mejorar sus servicios
Neutro,Ni bien ni mal 
Neutro,El servicio no esta ni bien ni mal
Neutro,La app no esta ni bien ni mal
Neutro,La aplicación no esta ni bien ni mal
Neutro,El servicio no es ni bien ni mal
Neutro,La app no es ni bien ni mal
Neutro,El banco no es ni bueno ni malo
Neutro,El servicio no es ni bueno ni malo
Neutro,La app no es ni buena ni mala
Neutro,La app es buena pero podria ser mejor
Neutro,El servicio es bueno pero podria mejorar
Neutro,La aplicación es buena pero podria mejorar
Neutro,El banco es bueno pero podria ser mejor 
Neutro,La rapidez es buena pero podria ser mejor
Neutro,EL banco es bueno pero podria mejorar
Neutro,La rapidez es buena pero podria mejorar
Neutro,El servicio es bueno pero el servicio al cliente podria ser mejor
Neutro,EL servicio del banco es bueno pero podria mejorar
Neutro,Mas o menos me ha gustado el servicio 
Neutro,Mas o menos me ha parecido la app
Neutro,Mas o menos me ha gustado la aplicación 
Neutro,Mas o menos es buena la app
Neutro,Mas o menos es eficiente el servicio
Neutro,Mas o menos sirve la aplicación 
Neutro,La aplicación no es tan buena 
Neutro,La app no es tan buena
Neutro,El servicio no es tan bueno
Neutro,El servicio no es tan eficiente
Neutro,La aplicación no es tan eficiente
Neutro,La app no es tan eficiente
Neutro,La aplicación no es tan rapida
Neutro,La app no es tan rapida
Neutro,El banco no es tan bueno
Neutro,El servicio es regular
Neutro,El servicio me ha parecido regular
Neutro,Para mi el servicio es regular 
Neutro,La app es regular
Neutro,La aplicación es regular no es tan rapida
Neutro,La app es regular no es tan buena como ellos dicen
Neutro,La rapidez es regular
Neutro,La eficiencia es regular 
Neutro,El banco es regular
Neutro,El servicio prodria ser mejor
Neutro,La app podria ser mejor
Neutro,La aplicación podria ser mejor
Neutro,El servicio podria mejorar 
Neutro,La app podria mejorar
Neutro,La aplicación podria mejorar su eficiencia
Neutro,EL servicio podria mejorar la rapidez
Neutro,La app podria mejorar el servicio al cliente
Neutro,El banco podria mejorar
Neutro,El banco podria mejorar sus servicios
Neutro,Ni bien ni mal 
Neutro,El servicio no esta ni bien ni mal
Neutro,La app no esta ni bien ni mal
Neutro,La aplicación no esta ni bien ni mal
Neutro,El servicio no es ni bien ni mal
Neutro,La app no es ni bien ni mal
Neutro,El banco no es ni bueno ni malo
Neutro,El servicio no es ni bueno ni malo
Neutro,La app no es ni buena ni mala
Neutro,La app es buena pero podria ser mejor
Neutro,El servicio es bueno pero podria mejorar
Neutro,La aplicación es buena pero podria mejorar
Neutro,El banco es bueno pero podria ser mejor 
Neutro,La rapidez es buena pero podria ser mejor
Neutro,EL banco es bueno pero podria mejorar
Neutro,La rapidez es buena pero podria mejorar
Neutro,El servicio es bueno pero el servicio al cliente podria ser mejor
Neutro,EL servicio del banco es bueno pero podria mejorar
Neutro,Mas o menos me ha gustado el servicio 
Neutro,Mas o menos me ha parecido la app
Neutro,Mas o menos me ha gustado la aplicación 
Neutro,Mas o menos es buena la app
Neutro,Mas o menos es eficiente el servicio
Neutro,Mas o menos sirve la aplicación 
Neutro,La aplicación no es tan buena 
Neutro,La app no es tan buena
Neutro,El servicio no es tan bueno
Neutro,Mas o menos me ha gustado el servicio 
Neutro,Mas o menos me ha parecido la app
Neutro,Mas o menos me ha gustado la aplicación 
Neutro,Mas o menos es buena la app
Neutro,Mas o menos es eficiente el servicio
Neutro,Mas o menos sirve la aplicación 
Neutro,La aplicación no es tan buena 
Neutro,La app no es tan buena
Neutro,El servicio no es tan bueno
Neutro,El servicio no es tan eficiente
Neutro,La aplicación no es tan eficiente
Neutro,La app no es tan eficiente
Neutro,La aplicación no es tan rapida
Positivo,"La atención muy amable, incluso en hora pico."
Positivo,"La atención del banco fue muy amable, incluso en hora pico."
Positivo,"La atención de la app es muy buena , incluso en hora pico."
Positivo,"La atención que ofrecen es muy buena , incluso en hora pico."
Positivo,"La atención que me dieron fue muy buena, incluso en hora pico."
Positivo,"El banco me dio una atencioón muy buena, incluso en hora pico."
Positivo,"La atención muy amable, incluso en hora pico."
Positivo,"La atención del banco fue muy amable, incluso en hora pico."
Positivo,"La atención de la app es muy buena , incluso en hora pico."
Positivo,"La atención que ofrecen es muy buena , incluso en hora pico."
Positivo,"La atención que me dieron fue muy buena, incluso en hora pico."
Positivo,"El banco me dio una atencioón muy buena, incluso en hora pico."
Positivo,"La atención muy amable, incluso en hora pico."
Positivo,"La atención del banco fue muy amable, incluso en hora pico."
Positivo,"La atención de la app es muy buena , incluso en hora pico."
Positivo,"La atención que ofrecen es muy buena , incluso en hora pico."
Positivo,"La atención que me dieron fue muy buena, incluso en hora pico."
Positivo,"El banco me dio una atencioón muy buena, incluso en hora pico."
Positivo,"La atención muy amable, incluso en hora pico."
Positivo,"La atención del banco fue muy amable, incluso en hora pico."
Positivo,"La atención de la app es muy buena , incluso en hora pico."
Positivo,"La atención que ofrecen es muy buena , incluso en hora pico."
Positivo,"La atención que me dieron fue muy buena, incluso en hora pico."
Positivo,"El banco me dio una atencioón muy buena, incluso en hora pico."
Positivo,"La atención muy amable, incluso en hora pico."
Negativo,Me dieron un servicio distinto al que pedi.
Negativo,El servicio es diferente al que pedi.
Negativo,El servicio es difirente al que pedi.
Negativo,La app es diferente a lo que me dijeron.
Negativo,La aplicación es diferente a lo que me comentaron.
Negativo,Me dieron un servicio diferente al que pedí.
Negativo,Lo que me ofrecieron es diferente a lo que pedi.
Negativo,Lo que me dieron es distinto a lo que pedí.
Negativo,No cumplen con lo que ofrecen.
Negativo,La app no cumple con sus normas.
Negativo,El banco no cumple con sus normas.
Negativo,El servicio no cumple con lo que promete.
Negativo,El servicio no cumplio con lo que me dijeron.
Negativo,El servicio no cumple.
Negativo,La app no cumple.
Negativo,Me dieron un servicio distinto al que pedi.
Negativo,El servicio es diferente al que pedi.
Negativo,El servicio es difirente al que pedi.
Negativo,La app es diferente a lo que me dijeron.
Negativo,La aplicación es diferente a lo que me comentaron.
Negativo,Me dieron un servicio diferente al que pedí.
Negativo,Lo que me ofrecieron es diferente a lo que pedi.
Negativo,Lo que me dieron es distinto a lo que pedí.
Negativo,No cumplen con lo que ofrecen.
Negativo,La app no cumple con sus normas.
Negativo,El banco no cumple con sus normas.
Negativo,El servicio no cumple con lo que promete.
Negativo,El servicio no cumplio con lo que me dijeron.
Negativo,El servicio no cumple.
Negativo,La app no cumple.
Negativo,Me dieron un servicio distinto al que pedi.
Negativo,El servicio es diferente al que pedi.
Negativo,El servicio es difirente al que pedi.
Negativo,La app es diferente a lo que me dijeron.
Negativo,La aplicación es diferente a lo que me comentaron.
Negativo,Me dieron un servicio diferente al que pedí.
Negativo,Lo que me ofrecieron es diferente a lo que pedi.
Negativo,Lo que me dieron es distinto a lo que pedí.
Negativo,No cumplen con lo que ofrecen.
Negativo,La app no cumple con sus normas.
Negativo,El banco no cumple con sus normas.
Positivo,El servicio fue rapido y el personal muy cordial.
Positivo,La app es rapida y el personal muy cordial.
Positivo,La aplicación es rapida y el personal muy cordial.
Positivo,La atención es rapida y el personal muy cordial.
Positivo,El servicio fue rapido y el personal muy cordial.
Positivo,La app es rapida y el personal muy cordial.
Positivo,La aplicación es rapida y el personal muy cordial.
Positivo,La atención es rapida y el personal muy cordial.
Positivo,El servicio fue rapido y el personal muy cordial.
Positivo,La app es rapida y el personal muy cordial.
Positivo,La aplicación es rapida y el personal muy cordial.
Positivo,La atención es rapida y el personal muy cordial.
Positivo,El servicio fue rapido y el personal muy cordial.
Positivo,La app es rapida y el personal muy cordial.
Positivo,La aplicación es rapida y el personal muy cordial.
Positivo,La atención es rapida y el personal muy cordial.
Positivo,El servicio fue rapido y el personal muy cordial.
Positivo,La app es rapida y el personal muy cordial.
Positivo,La aplicación es rapida y el personal muy cordial.
Positivo,La atención es rapida y el personal muy cordial.
Positivo,El servicio fue rapido y el personal muy cordial.
Positivo,Me dieron factura electronica al instante.
Positivo,El servicio funciona al instante.
Positivo,Me dieron factura electronica muy rapido.
Positivo,La app funciona al instante.
Positivo,La aplicación es rapida y al instante entrega resultados.
Positivo,El funcionamiento es rapido y al instante.
Positivo,Me entregan los servicios al instante.
Positivo,La atencion al cliente es al instante.
Positivo,El tiempo de respuesta del banco es al instante.
Positivo,El tiempo de respuesta de la aplicación es al instante.
Positivo,Me dieron factura electronica al instante.
Positivo,El servicio funciona al instante.
Positivo,Me dieron factura electronica muy rapido.
Positivo,La app funciona al instante.
Positivo,La aplicación es rapida y al instante entrega resultados.
Positivo,El funcionamiento es rapido y al instante.
Positivo,Me entregan los servicios al instante.
Positivo,La atencion al cliente es al instante.
Positivo,El tiempo de respuesta del banco es al instante.
Positivo,El tiempo de respuesta de la aplicación es al instante.
Positivo,Me dieron factura electronica al instante.
Positivo,El servicio funciona al instante.
Positivo,Me dieron factura electronica muy rapido.
Positivo,La app funciona al instante.
Positivo,La aplicación es rapida y al instante entrega resultados.
Positivo,El funcionamiento es rapido y al instante.
Positivo,Me entregan los servicios al instante.
Positivo,La atencion al cliente es al instante.
Positivo,El tiempo de respuesta del banco es al instante.
Positivo,El tiempo de respuesta de la aplicación es al instante.
Positivo,Me dieron factura electronica al instante.
Positivo,El servicio funciona al instante.
Neutro,"Me gustó, aunque esperaba mas opciones."
Neutro,Me gusto aunque esperaba mas.
Neutro,Me gusto el servicio aunque esperaba mas de ellos.
Neutro,Me gusto la aplicación aunque esperaba mas del banco.
Neutro,Me gusto la app aunque hay algunas cosas en las que tienen que mejorar.
Neutro,La app es buena aunque hay cosas que mejorar.
Neutro,El banco es bueno aunque esperaba mas de sus servicios.
Neutro,"Me gustó, aunque esperaba mas opciones."
Neutro,Me gusto aunque esperaba mas.
Neutro,Me gusto el servicio aunque esperaba mas de ellos.
Neutro,Me gusto la aplicación aunque esperaba mas del banco.
Neutro,Me gusto la app aunque hay algunas cosas en las que tienen que mejorar.
Neutro,La app es buena aunque hay cosas que mejorar.
Neutro,El banco es bueno aunque esperaba mas de sus servicios.
Neutro,"Me gustó, aunque esperaba mas opciones."
Neutro,Me gusto aunque esperaba mas.
Neutro,Me gusto el servicio aunque esperaba mas de ellos.
Neutro,Me gusto la aplicación aunque esperaba mas del banco.
Neutro,Me gusto la app aunque hay algunas cosas en las que tienen que mejorar.
Neutro,La app es buena aunque hay cosas que mejorar.
Neutro,El banco es bueno aunque esperaba mas de sus servicios.
Neutro,"Me gustó, aunque esperaba mas opciones."
Neutro,Me gusto aunque esperaba mas.
Neutro,Me gusto el servicio aunque esperaba mas de ellos.
Neutro,Me gusto la aplicación aunque esperaba mas del banco.
Neutro,Me gusto la app aunque hay algunas cosas en las que tienen que mejorar.
Neutro,La app es buena aunque hay cosas que mejorar.
Neutro,"Me gustó, aunque esperaba mas opciones."
Neutro,Me gusto aunque esperaba mas.
Neutro,Me gusto el servicio aunque esperaba mas de ellos.
Neutro,Me gusto la aplicación aunque esperaba mas del banco.
Neutro,Me gusto la app aunque hay algunas cosas en las que tienen que mejorar.
Neutro,La app es buena aunque hay cosas que mejorar.
Neutro,El banco es bueno aunque esperaba mas de sus servicios.
Neutro,"Me gustó, aunque esperaba mas opciones."
Neutro,"Me gustó, aunque esperaba mas opciones."
Neutro,Me gusto aunque esperaba mas.
Neutro,Me gusto el servicio aunque esperaba mas de ellos.
Neutro,Me gusto la aplicación aunque esperaba mas del banco.
Neutro,Me gusto la app aunque hay algunas cosas en las que tienen que mejorar.
Neutro,La app es buena aunque hay cosas que mejorar.
Neutro,El banco es bueno aunque esperaba mas de sus servicios.
Neutro,"Me gustó, aunque esperaba mas opciones."
Neutro,Me gusto aunque esperaba mas.
Neutro,Me gusto el servicio aunque esperaba mas de ellos.
Neutro,Me gusto la aplicación aunque esperaba mas del banco.
